workerid,proliferate.condition,correct,cumrt,distractors,internal_node_id,item,order,response,rt,sentence,stimulus,time_elapsed,trial_index,trial_type,type,words,error
957,1,,,,0.0-0.0,,,0,2287,," <center><img width=""300px"" src=""assets/stanford.png"" /></center><div id=""legal""></br>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at  <a href=""mailto://languagecoglab@gmail.com.""> languagecoglab@gmail.com</a>.You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. </div></br>",2292,0,html-button-response,,,
957,1,,,,0.0-1.0,,,0,12867,,"<h3>Please read these instructions carefully!</h3> </br><p>For this experiment, please place your <b>left index finger on the 'e' key</b> and your <b>right index finger on the 'i' key</b>.</p><p> You will read sentences word by word. However, you will have to guess which word comes next. On each screen you will see two options: one will be the next word in the sentence, and one will not. </p><p><b>Select the word that continues the sentence by pressing 'e' (left-hand) for the word on the left or pressing 'i' (right-hand) for the word on the right.</b></p><p>Select the best word as quickly as you can, but without making too many errors. </p><div><p>Click ""Continue"" to try this on a practice sentence.</p></div>",15161,1,html-button-response,,,
957,1,"[1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[9581, 3137, 21249, 7379, 2580, 6088, 2412, 7160, 4555, 2269, 1954, 2199, 1247, 1767]","['x-x-x', 'whom', 'knew', 'appeared', 'emotions', 'know', 'dad', 'lake', 'edition', 'jack', 'fans', 'fund', 'grow', 'died.']",0.0-2.0,,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]",,"[9581, 3137, 3807, 7379, 2580, 5014, 1887, 7160, 3263, 2269, 1954, 2199, 1247, 1767]",,,88822,2,maze,,"['This', 'is', 'a', 'practice', 'sentence', 'that', 'you', 'are', 'reading', 'one', 'word', 'at', 'a', 'time.']",
957,1,,,,0.0-3.0,,,0,2378,,"<h3>Please read these instructions carefully!</h3> </br><p>Great job! Now you are ready for the main experiment.</p><p> You will now read 16 short stories in the same word-by-word way.</p><div><p>Click ""Continue"" to start the experiment.</p>",91201,3,html-button-response,,,
957,1,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]","[5353, 3777, 6586, 3344, 1439, 2154, 2301, 3089, 1894, 1019, 1620, 890, 1695, 1401, 1190, 2031, 1928, 3733, 1273, 3671]","['x-x-x', 'outcomes', 'pray', 'awesome', 'rose', 'rise', 'require', 'theirs', 'governor', 'need', 'irony.', 'x-x-x', 'thing', 'wall', 'boy', 'weird', 'idea', 'exploits', 'boys', 'website.']",0.0-4.0-0.0,26,"[0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0]",,"[5353, 2843, 5529, 3344, 1439, 1489, 1447, 2157, 1894, 1019, 1620, 890, 1065, 1401, 1190, 2031, 1297, 3733, 1273, 3671]",A cleaning lady started on her morning rounds carrying a brush. She would have to clean a corridor that morning.,,141680,4,maze,setup,"['A', 'cleaning', 'lady', 'started', 'on', 'her', 'morning', 'rounds', 'carrying', 'a', 'brush.', 'She', 'would', 'have', 'to', 'clean', 'a', 'corridor', 'that', 'morning.']",
957,1,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[645, 1208, 1735, 1051, 605, 1752, 3913, 823, 932, 2044, 863, 2883, 1851, 643, 634, 1860, 4146, 1291, 1033, 2680, 1223, 1109, 915, 1017, 2296]","['x-x-x', 'able', 'somebody', 'queen', 'skin', 'us', 'stitches', 'lives', 'cat', 'kiss', 'case', 'galaxy', 'basis', 'try', 'note', 'win', 'educate', 'trump', 'boy', 'hero', 'true', 'universe', 'son', 'won', 'loves.']",0.0-4.0-0.1,26,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",,"[645, 1208, 1735, 1051, 605, 1159, 3139, 823, 932, 1469, 863, 2062, 1052, 643, 634, 968, 4146, 1291, 1033, 1788, 1223, 1109, 915, 1017, 1476]",In the building there was a corridor which had lots of plants along it and a lounge which had lots of pictures on the walls.,,180902,5,maze,1-context,"['In', 'the', 'building', 'there', 'was', 'a', 'corridor', 'which', 'had', 'lots', 'of', 'plants', 'along', 'it', 'and', 'a', 'lounge', 'which', 'had', 'lots', 'of', 'pictures', 'on', 'the', 'walls.']",
957,1,"[1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0]","[1664, 3986, 1969, 1964, 692, 2129, 1335, 729, 788, 942, 2626, 875, 1059, 1887]","['x-x-x', 'moreover', 'pray', 'trustee', 'call', 'prompted', 'join', 'came', 'galaxy', 'camp', 'plan', 'euro', 'age', 'proposing.']",0.0-4.0-0.2,26,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1]",,"[1664, 3126, 1969, 1964, 692, 1323, 1335, 729, 788, 942, 1947, 875, 1059, 1061]",The cleaning lady cleaned the corridor with the plants and then lit a cigarette.,,203615,6,maze,NP,"['The', 'cleaning', 'lady', 'cleaned', 'the', 'corridor', 'with', 'the', 'plants', 'and', 'then', 'lit', 'a', 'cigarette.']",
957,1,,,,0.0-5.0,,,,,,,204625,7,html-button-response,,,
957,1,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[5445, 1379, 842, 1145, 933, 552, 2220, 1638, 1504, 1276, 5281, 2804, 769, 2216, 1763, 960, 1069, 703, 1608]","['x-x-x', 'aftermath', 'luck', 'dollars', 'al', 'hurt', 'Happens', 'Forget', 'require', 'lose', 'dermatitis', 'ideas.', 'x-x-x', 'odds', 'idea', 'hate', 'miles', 'bet', 'suck.']",0.0-6.0-0.0,6,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1]",,"[5445, 1379, 842, 1145, 933, 552, 1166, 1133, 992, 746, 4396, 1980, 769, 1438, 1140, 960, 1069, 703, 999]",A historian was working in the British Museum holding a magnifying glass. He’d sat down to study a map.,,238810,8,maze,setup,"['A', 'historian', 'was', 'working', 'in', 'the', 'British', 'Museum', 'holding', 'a', 'magnifying', 'glass.', 'He’d', 'sat', 'down', 'to', 'study', 'a', 'map.']",
957,1,"[1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1]","[696, 2074, 2244, 819, 868, 487, 2012, 1088, 727, 2222, 1751, 1436, 713, 654, 2349, 3801, 1617, 744, 1696, 1360]","['x-x-x', 'dad', 'tons', 'queen', 'soul', 'knew', 'whom', 'goals', 'mom', 'vote', 'cosmetics', 'pigs', 'kids', 'pro', 'investing', 'trump', 'salary', 'girl', 'happens', 'employees.']",0.0-6.0-0.1,6,"[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1]",,"[696, 2074, 1413, 819, 868, 487, 1384, 1088, 727, 1439, 1118, 1436, 713, 654, 1511, 3801, 1617, 744, 926, 1360]",On his desk there was a map which had an appalling tear and a manuscript which seemed in perfect condition.,,268210,9,maze,1-context,"['On', 'his', 'desk', 'there', 'was', 'a', 'map', 'which', 'had', 'an', 'appalling', 'tear', 'and', 'a', 'manuscript', 'which', 'seemed', 'in', 'perfect', 'condition.']",
