workerid,proliferate.condition,correct,cumrt,distractors,internal_node_id,order,response,rt,stimulus,time_elapsed,trial_index,trial_type,words,error
938,1,,,,0.0-0.0,,0,1117," <center><img width=""300px"" src=""assets/stanford.png"" /></center><div id=""legal""></br>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at  <a href=""mailto://languagecoglab@gmail.com.""> languagecoglab@gmail.com</a>.You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. </div></br>",1118,0,html-button-response,,
938,1,,,,0.0-1.0,,0,9128,"<h3>Please read these instructions carefully!</h3> </br><p>For this experiment, please place your <b>left index finger on the 'e' key</b> and your <b>right index finger on the 'i' key</b>.</p><p> You will read sentences word by word. However, you will have to guess which word comes next.On each screen you will see two options: one will be the next word in the sentence, and one will not. </p><p><b>Select the word that continues the sentence by pressing 'e' (left-hand) for the word on the left or pressing 'i' (right-hand) for the word on the right.</b></p><p>Select the best word as quickly as you can, but without making too many errors. </p><div><p>Click ""Continue"" to try this on a practice sentence.</p></div>",10247,1,html-button-response,,
938,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2917, 1057, 910, 874, 803, 1028, 864, 706, 737, 2493, 565, 662, 622, 739]","['x-x-x', 'whom', 'knew', 'appeared', 'emotions', 'know', 'dad', 'lake', 'edition', 'jack', 'fans', 'fund', 'grow', 'died.']",0.0-2.0,"[1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1]",,"[2917, 1057, 910, 874, 803, 1028, 864, 706, 737, 2493, 565, 662, 622, 739]",,25233,2,maze,"['This', 'is', 'a', 'practice', 'sentence', 'that', 'you', 'are', 'reading', 'one', 'word', 'at', 'a', 'time.']",
938,1,,,,0.0-3.0,,0,1985,"<h3>Please read these instructions carefully!</h3> </br><p>Great job! Now you are ready for the main experiment.</p><p> You will now read 16 short stories in the same word-by-word way.</p><div><p>Click ""Continue"" to start the experiment.</p>",27219,3,html-button-response,,
938,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1583, 1462, 903, 994, 924, 836, 767, 867, 960, 729, 701, 1083, 846, 754, 1321, 697, 899, 855, 1090, 863, 704]","['x-x-x', 'videos', 'rid', 'loss', 'reasons', 'plan', 'done', 'assets', 'thrones', 'lost', 'maps', 'truth.', 'x-x-x', 'seat', 'temper', 'spot', 'cape', 'republic', 'doors', 'site', 'voices.']",0.0-4.0-0.0,"[1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",,"[1583, 1462, 903, 994, 924, 836, 767, 867, 960, 729, 701, 1083, 846, 754, 1321, 697, 899, 855, 1090, 863, 704]",,47060,4,maze,"['A', 'little', 'boy', 'was', 'playing', 'in', 'a', 'garden', 'kicking', 'a', 'ball', 'about.', 'He', 'was', 'warned', 'that', 'he’d', 'probably', 'break', 'a', 'window.']",
938,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1144, 1693, 732, 867, 674, 772, 646, 688, 950, 701, 711, 638, 888, 1380, 1940, 616, 624, 667, 892]","['x-x-x', 'huge', 'cast', 'slow', 'pull', 'phones', 'lives', 'ice', 'job', 'firms', 'cars', 'find', 'sex', 'law', 'behalf', 'wife', 'notice', 'song', 'pay.']",0.0-4.0-0.1,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",,"[1144, 1693, 732, 867, 674, 772, 646, 688, 950, 701, 711, 638, 888, 1380, 1940, 616, 624, 667, 892]",,64286,5,maze,"['Close', 'to', 'him', 'was', 'a', 'window', 'which', 'had', 'a', 'crack', 'in', 'it', 'and', 'a', 'statue', 'that', 'looked', 'very', 'old.']",
938,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[669, 805, 802, 1340, 628, 993, 614, 948, 694, 469, 759, 2136, 613, 709]","['x-x-x', 'gone', 'huge', 'significance', 'miles', 'did', 'behalf', 'join', 'role', 'occur', 'sex', 'wars', 'size', 'decade.']",0.0-4.0-0.2,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",,"[669, 805, 802, 1340, 628, 993, 614, 948, 694, 469, 759, 2136, 613, 709]",,76470,6,maze,"['The', 'boy', 'did', 'accidentally', 'break', 'the', 'window', 'with', 'the', 'ball', 'and', 'ran', 'home', 'crying.']",
938,1,,,,0.0-5.0,,,,,77473,7,html-button-response,,
938,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[5852, 1206, 848, 711, 651, 718, 566, 711, 581, 973, 1107, 734, 2941, 529, 748, 699, 690, 651, 694, 631, 768, 652, 568]","['x-x-x', 'batters', 'join', 'videos', 'goal', 'types', 'rose', 'died', 'terms', 'male', 'firm', 'size', 'writes', 'suck', 'wind', 'skin', 'thus.', 'x-x-x', 'happen', 'foot', 'upon', 'lie', 'tend.']",0.0-6.0-0.0,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1]",,"[5852, 1206, 848, 711, 651, 718, 566, 711, 581, 973, 1107, 734, 2941, 529, 748, 699, 690, 651, 694, 631, 768, 652, 568]",,101707,8,maze,"['A', 'burglar', 'was', 'trying', 'to', 'break', 'into', 'a', 'house', 'and', 'had', 'a', 'credit', 'card', 'in', 'his', 'hand.', 'He', 'wanted', 'to', 'open', 'a', 'door.']",
938,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[618, 785, 555, 982, 581, 578, 655, 864, 602, 589, 765, 696, 792, 580, 768, 823, 756]","['x-x-x', 'queen', 'draw', 'onto', 'stars', 'fat', 'dog', 'assert', 'tons', 'poor', 'boys', 'movies', 'weird', 'gay', 'race', 'propose', 'gifts.']",0.0-6.0-0.1,"[1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0]",,"[618, 785, 555, 982, 581, 578, 655, 864, 602, 589, 765, 696, 792, 580, 768, 823, 756]",,113700,9,maze,"['He', 'found', 'a', 'door', 'which', 'had', 'a', 'faulty', 'lock', 'and', 'a', 'window', 'which', 'had', 'a', 'cracked', 'frame.']",
938,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[743, 647, 840, 738, 817, 851, 627, 1404, 573, 659, 722, 777, 753]","['x-x-x', 'expands', 'silver', 'drop', 'thus', 'male', 'site', 'relies', 'tend', 'sea', 'affairs', 'honesty', 'degree.']",0.0-6.0-0.2,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1]",,"[743, 647, 840, 738, 817, 851, 627, 1404, 573, 659, 722, 777, 753]",,123857,10,maze,"['The', 'burglar', 'opened', 'the', 'door', 'with', 'the', 'faulty', 'lock', 'and', 'quickly', 'slipped', 'inside.']",
938,1,,,,0.0-7.0,,,,,124859,11,html-button-response,,
