workerid,proliferate.condition,correct,cumrt,distractors,internal_node_id,item,order,response,rt,sentence,stimulus,time_elapsed,trial_index,trial_type,type,words,error
941,i,,,,0.0-0.0,,,0,1234,," <center><img width=""300px"" src=""assets/stanford.png"" /></center><div id=""legal""></br>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at  <a href=""mailto://languagecoglab@gmail.com.""> languagecoglab@gmail.com</a>.You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. </div></br>",1236,0,html-button-response,,,
941,i,,,,0.0-1.0,,,0,11947,,"<h3>Please read these instructions carefully!</h3> </br><p>For this experiment, please place your <b>left index finger on the 'e' key</b> and your <b>right index finger on the 'i' key</b>.</p><p> You will read sentences word by word. However, you will have to guess which word comes next. On each screen you will see two options: one will be the next word in the sentence, and one will not. </p><p><b>Select the word that continues the sentence by pressing 'e' (left-hand) for the word on the left or pressing 'i' (right-hand) for the word on the right.</b></p><p>Select the best word as quickly as you can, but without making too many errors. </p><div><p>Click ""Continue"" to try this on a practice sentence.</p></div>",13184,1,html-button-response,,,
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3437, 1999, 904, 880, 1032, 808, 696, 656, 624, 2128, 591, 528, 568, 704]","['x-x-x', 'whom', 'knew', 'appeared', 'emotions', 'know', 'dad', 'lake', 'edition', 'jack', 'fans', 'fund', 'grow', 'died.']",0.0-2.0,,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1]",,"[3437, 1999, 904, 880, 1032, 808, 696, 656, 624, 2128, 591, 528, 568, 704]",,,28753,2,maze,,"['This', 'is', 'a', 'practice', 'sentence', 'that', 'you', 'are', 'reading', 'one', 'word', 'at', 'a', 'time.']",
941,i,,,,0.0-3.0,,,0,1984,,"<h3>Please read these instructions carefully!</h3> </br><p>Great job! Now you are ready for the main experiment.</p><p> You will now read 16 short stories in the same word-by-word way.</p><div><p>Click ""Continue"" to start the experiment.</p>",30738,3,html-button-response,,,
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1099, 1295, 752, 728, 576, 720, 808, 689, 528, 551, 1359, 698, 1136, 1104, 600, 873, 776, 864, 760, 1030, 665]","['x-x-x', 'fringes', 'ones', 'nations', 'sell', 'sold', 'frank', 'pain', 'lady', 'info', 'channels', 'yes', 'rates', 'vain.', 'x-x-x', 'sun', 'plus', 'olive', 'term', 'read', 'sake.']",0.0-4.0-0.0,15,"[0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]",,"[1099, 1295, 752, 728, 576, 720, 808, 689, 528, 551, 1359, 698, 1136, 1104, 600, 873, 776, 864, 760, 1030, 665]",A fireman was running to the scene of a fire carrying a heavy axe. He had to smash down a door.,,48351,4,maze,setup,"['A', 'fireman', 'was', 'running', 'to', 'the', 'scene', 'of', 'a', 'fire', 'carrying', 'a', 'heavy', 'axe.', 'He', 'had', 'to', 'smash', 'down', 'a', 'door.']",
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[558, 856, 713, 583, 592, 760, 739, 581, 480, 489, 1343, 680, 736, 760, 639, 649, 864, 736, 680, 743, 737, 1960, 807, 568, 655, 624]","['x-x-x', 'lie', 'till', 'mark', 'week', 'ought', 'non', 'push', 'thus', 'ways', 'smart', 'send', 'ages', 'teams', 'mind', 'card', 'does', 'cites', 'lied', 'drug', 'tax', 'prices', 'rates', 'cash', 'cleric', 'sing.']",0.0-4.0-0.1,15,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]",,"[558, 856, 713, 583, 592, 760, 739, 581, 480, 489, 1343, 680, 736, 760, 639, 649, 864, 736, 680, 743, 737, 1960, 807, 568, 655, 624]",When he got to the scene of the fire he found a door which had a very rusty lock and a door which was nailed shut.,,67891,5,maze,2-context,"['When', 'he', 'got', 'to', 'the', 'scene', 'of', 'the', 'fire', 'he', 'found', 'a', 'door', 'which', 'had', 'a', 'very', 'rusty', 'lock', 'and', 'a', 'door', 'which', 'was', 'nailed', 'shut.']",
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[539, 760, 776, 496, 488, 519, 561, 592, 688, 816, 775, 881, 728, 464]","['x-x-x', 'modeled', 'apostle', 'lack', 'send', 'none', 'hope', 'sell', 'align', 'vary', 'week', 'debut', 'concerto', 'girl.']",0.0-4.0-0.2,15,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",,"[539, 760, 776, 496, 488, 519, 561, 592, 688, 816, 775, 881, 728, 464]",The fireman smashed down the door with the rusty lock but smoke overcame him.,,76979,6,maze,NP,"['The', 'fireman', 'smashed', 'down', 'the', 'door', 'with', 'the', 'rusty', 'lock', 'but', 'smoke', 'overcame', 'him.']",
941,i,,,,0.0-5.0,,,,,,,77981,7,html-button-response,,,
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[999, 840, 648, 1024, 808, 851, 589, 536, 696, 985, 775, 841, 735, 616, 976, 553, 839, 512, 1648]","['x-x-x', 'rest', 'ice', 'regulators', 'pull', 'runs', 'slow', 'code', 'race', 'case', 'road', 'along', 'sells.', 'x-x-x', 'holiday', 'bus', 'chips', 'walk', 'hire.']",0.0-6.0-0.0,32,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]",,"[999, 840, 648, 1024, 808, 851, 589, 536, 696, 985, 775, 841, 735, 616, 976, 553, 839, 512, 1648]",A man was decorating a room and had with him a large brush. He’d decided to paint a door.,,93459,8,maze,setup,"['A', 'man', 'was', 'decorating', 'a', 'room', 'and', 'had', 'with', 'him', 'a', 'large', 'brush.', 'He’d', 'decided', 'to', 'paint', 'a', 'door.']",
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[539, 952, 568, 637, 465, 432, 631, 675, 560, 455, 665, 688, 528, 536, 592, 600, 784, 528, 776, 792]","['x-x-x', 'able', 'gave', 'proud', 'son', 'took', 'asks', 'terms', 'job', 'dog', 'knows', 'kings', 'days', 'talk', 'drug', 'army', 'agency', 'peace', 'election', 'aware.']",0.0-6.0-0.1,32,"[0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1]",,"[539, 952, 568, 637, 465, 432, 631, 675, 560, 455, 665, 688, 528, 536, 592, 600, 784, 528, 776, 792]",In the room there was a door which had a large crack in it and a window which wouldn't close.,,105867,9,maze,1-context,"['In', 'the', 'room', 'there', 'was', 'a', 'door', 'which', 'had', 'a', 'large', 'crack', 'in', 'it', 'and', 'a', 'window', 'which', ""wouldn't"", 'close.']",
