workerid,proliferate.condition,correct,cumrt,distractors,failed_audio,failed_images,failed_video,internal_node_id,order,response,rt,stimulus,success,time_elapsed,timeout,trial_index,trial_type,words,error
1060,test,,,,[],[],[],0.0-0.0,,,,,True,256,False,0,preload,,
1060,test,,,,,,,0.0-1.0,,0,35900,"<h2> Thanks for helping us out by testing out our experiment!<h2><br><h3>Please read these instructions carefully!</h3> </br><p>For this experiment, please place your <b>left index finger on the 'e' key</b> and your <b>right index finger on the 'i' key</b>.</p><p> You will read sentences word by word. However, you will have to guess which word comes next.</p> <p>On each screen you will see <b>two</b> options: one will be the next word in the sentence, and one will not. </p><p><b>Select the word that continues the sentence by pressing 'e' (left-hand) for the word on the left <br>orpressing 'i' (right-hand) for the word on the right.</b></p><p>Select the best word as quickly as you can, but without making too many errors. </p><div><p>Click ""Continue"" to try this on a practice sentence.</p></div>",,36157,,1,html-button-response,,
1060,test,"[1, 1, 1, 1, 1, 1, 1, 1]","[8813, 1347, 1069, 656, 980, 1491, 720, 1038]","['x-x-x', 'no', 'lake', 'grow', 'appeal', 'died', 'sun', 'runs.']",,,,0.0-2.0,"[0, 0, 1, 0, 0, 0, 0, 1]",,"[8813, 1347, 1069, 656, 980, 1491, 720, 1038]",,,52285,,2,maze,"['The', 'dog', 'chased', 'the', 'squirrel', 'up', 'a', 'tree.']",
1060,test,,,,,,,0.0-3.0,,0,5156,"<p>Great job! Now you are ready for the main experiment.</p><p> You will now read a paragraph in the same word-by-word way.</p><div><p>Click ""Continue"" to start the experiment.</p>",,57443,,3,html-button-response,,
1060,test,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1226, 1423, 1793, 820, 697, 976, 959, 531, 742, 920, 790]","['x-x-x', 'relies', 'mailed', 'glad', 'am', 'barns', 'carry', 'case', 'door', 'hope', 'award.']",,,,0.0-4.0-0.0,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0]",,"[1226, 1423, 1793, 820, 697, 976, 959, 531, 742, 920, 790]",,,68323,,4,maze,"['The', 'arctic', 'tundra', 'is', 'a', 'biome', 'found', 'in', 'the', 'far', 'north.']",
1060,test,,,,,,,0.0-4.0-1.0,, ,11007,"<img  style=""width: 800px;"" src=assets/images/1.jpeg> <br><br><p>Press spacebar to continue.</p>",,79334,,5,html-keyboard-response,,
1060,test,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2138, 840, 906, 7772, 1749, 578, 1282, 639, 1648, 872, 701, 1322, 966, 936]","['x-x-x', 'lose', 'eluded,', 'info', 'missed', 'pre', 'pamphlet', 'art', 'mom', 'photographer', 'girl', 'judge', 'imagine', 'witness.']",,,,0.0-4.0-0.1,"[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",,"[2138, 840, 906, 7772, 1749, 578, 1282, 639, 1648, 872, 701, 1322, 966, 936]",,,101691,,6,maze,"['In', 'the', 'tundra,', 'tree', 'growth', 'is', 'hindered', 'by', 'low', 'temperatures', 'and', 'short', 'growing', 'seasons.']",
1060,test,,,,,,,0.0-4.0-1.1,, ,1937,"<img  style=""width: 800px;"" src=assets/images/2.jpeg> <br><br><p>Press spacebar to continue.</p>",,103630,,7,html-keyboard-response,,
1060,test,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[916, 787, 729, 968, 734, 827, 652, 868, 721, 940, 1132, 1029, 583, 2067, 1624, 714, 1094, 1730, 894, 610, 1268, 980, 657, 884, 826]","['x-x-x', 'fact', 'box', 'meant', 'sir', 'admire', 'try', 'ask', 'aunt', 'learn', 'figuring', 'honor', 'wife', 'appears', 'glad', 'badge,', 'fun', 'intro', 'cared', 'text', 'soul', 'robin', 'says', 'opinion', 'photo.']",,,,0.0-4.0-0.2,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",,"[916, 787, 729, 968, 734, 827, 652, 868, 721, 940, 1132, 1029, 583, 2067, 1624, 714, 1094, 1730, 894, 610, 1268, 980, 657, 884, 826]",,,127872,,8,maze,"['Most', 'of', 'the', 'water', 'is', 'frozen', 'in', 'the', 'soil', 'which', 'prevents', 'trees', 'from', 'putting', 'down', 'roots,', 'and', 'harsh', 'winds', 'also', 'keep', 'trees', 'from', 'growing', 'large.']",
1060,test,,,,,,,0.0-4.0-1.2,, ,10673,"<img  style=""width: 800px;"" src=assets/images/3.jpeg> <br><br><p>Press spacebar to continue.</p>",,138547,,9,html-keyboard-response,,
